所有 一切、全部。 他必須盡量考慮<所有>可能發生的經驗。
坐 以後述狀態為進一步發展的基礎，後接數目。 我說嘛，這些男人都在想什麼，<坐>二望三嗎？
表現 以後述言語或行為顯露出特定人格特質。 他的好家教<表現>在他的日常待人接物上。
投 以得分為目的，以手將球向籃框丟出。 滑翔機崔斯勒<投>八中七，外加四記火鍋；鴨子中鋒達克沃斯<投>六全中。
心 以心為形象製成的人造物。 我用蠟筆畫出兩顆<心>，一顆送妳，一顆給我。
呵 以感嘆語氣對前述事件下評論。 能和你這樣年輕的女子交往，我真是幸福的人<呵>！
殺 以戰鬥的方式突破敵人的包圍。 秋謹馬上宣布就此發難，帶領革命同志<殺>了出去。
扇 以扇為形象製成的人造物。 工藝與造型，造就了這樣一把具有藝術觀賞價值的水晶<扇>。
洗把臉 以手一次洗淨臉部。 丘子章<洗把臉>下樓，覺得喉嚨有些乾痛，全身乏力，估料是感冒了。
搖晃 以手使物體不規律地來回搖動。 取籤的訣竅是，小的籤筒捧起來上下或斜式<搖晃>，以掉出來或最高的籤條算數，大籤筒則將籤條整束抱起來放開。
抖 以手使物體重複晃動。 褚雲爆喝一聲，掌中軟鎗<抖>起，分心就打。
拳 以手做出特定動作進行的遊戲。 來划數字<拳>，輸了要喝一杯牛奶！
招 以手勢叫特定對象過來。 她伸手<招>了<招>小皮，小皮乖乖跳到她身邊的沙發。
招 以手勢表示打招呼。 我可以十分肯定這個朋友會在那<招>著雙手熱情歡迎著我，想想很高興有這麼一個朋友存在著。
接 以手或工具托住正在降落的特定物體。 就算丟下十斤重的鐵塊，他也可以伸手去<接>。
摸索 以手或手持工具在特定空間範圍內尋找並取得特定對象。 她之前在右邊口袋<摸索>時，就發現少了幾顆果實。
划 以手或手持工具撥水使特定物體在水中移動。 我曾經<划>著舢板在風暴來臨的海上迷向。
撈 以手或手持工具為容器，將存在特定空間或水中的物品取出。 咦，為什麼這次的水草都<撈>不起來啊？
搗 以手或手持物敲打特定物品，通常是衣物。 許多婦女坐在池邊石上<搗>衣。
扒 以手或耙子將物體分散或聚集在一起。 老師吩咐我們趕快把地上的枯樹葉<扒>在一起。
鎖 以手或腳抓緊他人的身體部位，使其無法活動。 我只好採用十字<鎖>腳<鎖>手功，好好餵她吃藥。
拍 以手打人的一次動作。 何斌吃他一<拍>，原本也沒有熟睡的他便立時坐將起來，
速寫 以手持相機拍下真實生活的畫面。 400萬畫素的SuperHADCCD，使得FX77成為人物或風景<速寫>的最佳利器。
比 以手指示位置。 諾可邊說，邊小心地<比>了<比>她的頭髮。
拍 以手掌或手持物類似手掌片狀的部位打後述對象，並同時對特定平面施力。 我<拍>中了停在牆壁上的蚊子。
接過來 以手接受他人給予的物品。 東尼把東西<接過來>，連看都不看，就往口袋塞。
扶 以手支撐特定對象使其起立或不倒下。 李文秀奇道：「你有病麼？我<扶>你上馬。」
按 以手施力使人或物無法移動。 警察拿出手銬把歹徒兩手反銬<按>在地上。
按 以手緊握住劍柄。 他走到你面前，你還是<按>著劍柄的好。
打下來 以打字的方式記錄下來。 我把這序篇<打下來>，希望沒看過這本書的朋友，也能了解傑哥多一點。
打 以打板的動作發出響聲來表示開始拍攝。 他一直不懂拍電影的時候，每次開拍前為什麼要用一塊小木板<打>一下？這是代表什麼意思呢？
獵 以打獵維生的生活方式。 狹窄平原形成不同型態的高山、平原和濱海聚落，從事漁、<獵>、採集與種植的生活。
主力 以技術性方式控制股價漲跌變化的大戶。 吳先生提醒投資人留意<主力>作頭準備出貨的跡象。
撲 以拍打的方式使粉狀物均勻地分佈在特定物體上。 在施過粉底霜的臉上，輕輕地<撲>上一層乾粉定妝。
撲 以拍打的方式使粉狀物均勻地分佈在皮膚上的化妝工具。 我回家折封後發現並沒有蜜粉<撲>，所以我又跑回sogo詢問，小姐說：蜜粉<撲>是要另買的。
復健 以按摩或運動等物理方式使病人恢復身體功能。 星期二看完醫生做了一次<復健>，當然星期三又痛又腫了！
獲 以捕獵的方式取得後述對象。 捕貂時禁穿戴貂皮衣帽，<獲>貂後禁當場剝皮，走出百步之後方可。
推 以推動的方式使特定液狀物質均勻地分佈在特定物體的表面上。 我每天洗完澡也會用乳液<推>一<推>按摩一下。
揮 以揮的方式使氣體往特定方向移動。 破破舊舊的中興號，車上的冷氣總是有股<揮>不開的汽油味。
開 以操作後述有動力的機械為職業。 該鄉代會昨日向法院控告<開>挖土機的人侵佔，草屯鎮公所將出具證明。
蠱 以操縱毒蟲，並以詛咒害人的一種巫術。 <蠱>是中國巫術中的一種，以雲南苗疆最盛，也最神奇和負有盛名。
攝取 以攝影器材記錄後述對象。 在醫學上，薄膜原見感光的高齡敏度及良好線性特性，可以X光劑量來曝光<攝取>影像。
報 以文件向有關單位申請後述事件。 不同戶籍的姪子如何<報>撫養？
寫成 以文句組成作品。 籤詩多半是以五言絕句和七言絕句<寫成>。
撰 以文字創作作品。 這本全集內容涵蓋期間從民國十四年經國先生在蘇聯所<撰>日記起，到七十七年經國先生的遺囑。
寫 以文字創作作品或音樂。 前幾天看著林崇漢的圖決定為它<寫>ㄧ首詩。
賦 以文字創作詩詞。 我的心中充滿了期待，現<賦>一首詩表達喜悅之情。
載 以文字媒介提供後述訊息。 申請人是否符合流通目錄所<載>之提供對象。
語 以文字媒介表達出來的訊息。 猶記中學寫作文，下筆千鈞<語>驚人，虛名浮利非吾志，男兒當如拿破崙，可惜這個世界上，拿破崙只有一個。
說出 以文字媒介表達出後述訊息來。 秦人刺穆公無道，悼三良殉死，於是作（黃鳥）詩表之，詩中把三良臨穴惴慄恐懼的心態寫出，也<說出>賢良的殉葬是國家的大損失。
說出來 以文字媒介表達出特定訊息。 口說的話，可以用文字<說出來>。
寫下來 以文字或符號記錄。 雜詩，是指沒有題目的詩，是因我的感觸<寫下來>的。
陳 以文字或言語向特定對象表達情感或想法。 他<陳>了一首詩，問曰：特入空門問苦空，敢將禪事問禪翁？
標示 以文字或記號提供的訊息。 在綜合醫院的精神科門診中加上成癮藥物防治門診的<標示>，既不特別強調，也包含告知的功能。
標 以文字或記號表達的訊息的載體。 NET黃<標>商品3件8折、5件7折。
外傳 以文字敘述來說明原本經書所記載的內容的書。 在《春秋》家中，有《公羊傳》和《公羊<外傳>》，《穀梁傳》和《穀梁<外傳>》。
傳 以文字解釋經書內容的書。 胡適上海話學得差不多了，大著膽子糾正老師：這個<傳>是易經系辭<傳>才對。
寫成 以文字體現意念或事件。 三十年後他的不尋常遭遇被人<寫成>文字發表，外間才知道那樁死了數千人的事件。
答 以文章回應他人。 十一月八日的自由副刊上，登載了王曉波先生的文章（無知近乎勇<答>高政義先生的批評），回應了筆者之前在自由副刊上對他的批評。
日子 以日為單位組成的一段時間。 我當然明白，逝去的<日子>不可能再來。
奪 以暴力、威脅或其他強勢手段取得後述原來不屬於自己的對象。 李文秀指著阿曼道：「她是你的女奴，我要<奪>她過來，做我的女奴！」
寫出來 以書寫工具寫出字的形體。 毛筆是中國古代的一項重要發明。一管在手，揮灑自如，<寫出來>的線條，變化豐富；歷代書法家各有各的特色，美不勝收。
寫給 以書寫的方式表達給後述對象。 小學生<寫給>總統的信件結集成長，名為「送您一顆小貝殼」。
書 以書為形象製成的人造物。 這是用20種糖果黏製而成的糖果<書>。
函請 以書面文件通知後述平行或上級對象。 總辦事處已<函請>南港分局督促轄區單位儘速偵破並加強巡邏。
報告 以書面方式所做的陳述。 正式的研究<報告>預估將於今年上半年出爐。
報請 以書面方式提案向上級請求核准。 原則上，寒暑假採集中方式，若有特優選手得可<報請>專案，出國長期受訓。
約 以最精簡的方式使用後述對象。 廣言之，佛法有八萬四千法門，若<約>其文義而顯之，則十二分教亦可攝盡。
會員 以會為單位的團體中的成員。 全華圖書採<會員>登錄方式，克服網路上安全與認證的問題。
詩 以有節奏韻律的文字創作出的作品。 對此他是感觸良深難以忘懷的。他的兩首<詩>深刻地道出了他的心境。
研 以有系統的科學方式探求特定事物的真相或性質。 他是曾在美國哈佛大學專<研>免疫學與愛滋病的中央研究院生醫所副研究員。
研究 以有系統的科學方式探求特定事物的真相或性質的工作。 他手邊還有幾個大型<研究>有待收尾。
研 以有系統的科學方式探求特定事物的真相或性質的領域。 期望透過產官學<研>的分工合作，能夠善盡資源分享之利。
柱 以柱為形象製成的人造物。 屋頂上是厚厚的蛋糕，窗戶則是明亮的糖塊，煙囪是最新鮮的巧克力<柱>。
桃 以桃為形象製成的人造物。 請問歸寧回禮的麵<桃>是什麼東西？
桌 以桌為單位的人所參與的遊戲的單位。 打麻將時三缺一，要求找一個人去湊一<桌>。
條 以條列式呈現出的內容。 「讓別人絕食而自己不絕食不怎麼人道」，這一<條>有道理。
束 以條狀物纏繞並固定物體。 約翰穿駱駝毛的衣服，腰<束>皮帶，吃的是蝗蟲、野蜜。
綑 以條狀物纏繞在特定物體上使其集中或變緊。 他們先是扒光我的衣服，再用一個麻布網把我<綑>得像木乃伊一樣。
梯 以梯為形象製成的人造物。 老師幫大家做好巧克力<梯>，還額外教了我們2款巧克力造型。
棉 以棉絮或其他類似材質製成的紡織品。 上海<棉>價頓跌，洋行紛紛倒閉，經濟受到巨大打擊。
帆 以棉麻或其他類似材料製成的粗厚的布。 他想去街上買雨<帆>，將蒙古包蓋住也許能止漏。
棋 以棋為形象製成的人造物。 東革阿里做成的巧克力<棋>，一吃就上了癮，直嚷著要買一盒回家。
花園 以植物為主題規劃建設並提供大眾娛樂活動的場所。 大自然<花園>遊樂區位於台北縣林口鄉，整個區內以園景取勝。
票 以業餘身份表演。 無聊時可邀二、三個知己到家裡來下棋，品品老人茶，或天南地北一番，甚至可以到公園跟一些同好拉拉胡琴，<票>齣戲。
橋 以橋為形象製成的人造物。 冰雕<橋>雖是冷冷的藝術雕塑，但人間有情，能把冰融化！
輪 以機器為動力划水前進的船隻。 我攜帶了幾件簡單的行李從銅人碼頭搭便輪到浦東，換乘大<輪>赴青島。
櫻 以櫻為形象製成的人造物。 到Mitsuwa賞塑膠<櫻>、買零食也不錯。
歌手 以歌唱為職業的人。 入中國大陸之前，她只是星河中芸芸<歌手>之一。
歌星 以歌唱著名的明星。 希望長大後當一個紅透半邊天的大<歌星>。
授予 以正式、公開的方式將榮譽或權力給特定對象。 第二代企業家雖然貴為皇太子，但董事長並未<授予>談判的全權，遇到重大關節仍要向乃父請示。
