e04 , 形容極度不悅。
嫩 , 使作為食材的肉變得質地細而口感柔軟。
嫩 , 使皮膚觸感變得細緻柔軟。
嫩 , 形容柔軟的，用於剛長出來的植物。
嫩 , 形容比喻經驗不足的。
嫩 , 形容皮膚觸感細緻柔軟的。
嫩 , 形容皮膚觸感變得細緻柔軟。
嫩 , 形容顏色亮度高，彩度不飽合的。
嫩 , 形容食材質地細而口感柔軟。
嫩 , 形容食物烹調時間短，口感柔軟的。
嫻熟 , 擁有豐富的經驗與技術。
嬌 , 形容可愛美麗的。
嬌 , 形容展現出女性柔美特質的。
嬌 , 形容習慣被呵護、任性、不能吃苦的。
嬌 , 普通名詞。比喻女子，通常外表佳。
嬌 , 普通名詞。為了達到目的或取悅他人，做出可愛、討好的行為的事件。
嬤 , 普通名詞。對中老年女性僕人的稱呼。常用接尾詞。
嬤 , 普通名詞。有孫子的女子。
嬰 , 普通名詞。出生到一歲之間的小孩。
孃 , 普通名詞。接尾詞。從事前述職業的女子。
子 , 代指單數的聽話者。
子女 , 普通名詞。兒子和女兒。
子孫 , 普通名詞。人類代代繁衍出的子孫。
子宮 , 普通名詞。女性生殖器官之一，為胎兒發育成長的位置。
子 , 專有名詞。中國春秋時代思想家，儒家思想的開創者，後世尊稱為至聖先師，本名孔丘。
子 , 專有名詞。姓。
子 , 形容動物幼小、尚未發育成熟。
子 , 形容從特定事物發生來源衍生出的。
子 , 普通名詞。中國古代圖書目錄四部分類之一，指百家著述。
子 , 普通名詞。中國古代封建五等爵位的第四等。
子 , 普通名詞。兒子和女兒。
子 , 普通名詞。古代專指有學問涵養的男子。
子 , 普通名詞。地支的第一位。
子 , 普通名詞。幼小、尚未發育成熟的動物。常用接尾詞。
子 , 普通名詞。接尾詞。具有前述身份或從事前述工作的人。
子 , 普通名詞。接尾詞。用在動詞之後，使其變為名詞。
子 , 普通名詞。接尾詞。用在名詞之後，無義。
子 , 普通名詞。接尾詞。用在形容詞之後，使其變為名詞。
子 , 普通名詞。棋賽中計算輸贏的單位。
子 , 普通名詞。植物的器官，由胚珠發育而成，可以發展成與母株相同的植物，主要由種皮、胚和胚乳三部份組成。常用接尾詞。
子 , 普通名詞。父母對自己所生育的男性後代的指稱。
子 , 普通名詞。第一代的男性後代。
子 , 普通名詞。遊戲中可在紙盤上按特定規則移動且帶有象徵性且能區分參與者身分的小物品，以木頭或其他材料製成。
子貢 , 專有名詞。春秋時代孔子弟子，姓端木，名賜，字子貢。
子 , 通指貨幣。常用接尾詞。
孔子 , 專有名詞。中國春秋時代思想家，儒家思想的開創者，後世尊稱為至聖先師，本名孔丘。
孔子 , 專有名詞。記載孔子思想的書。
孔子 , 普通名詞。以孔子為代表的儒家思想。
孔 , 專有名詞。中國春秋時代思想家，儒家思想的開創者，後世尊稱為至聖先師，本名孔丘。「孔子」的縮寫。
孔 , 專有名詞。姓。
孔明 , 專有名詞。三國時代政治家和軍事家，三國演義一書中的主要角色，為輔佐蜀國的忠臣，著出師表。
孔 , 普通名詞。以孔子為代表的儒家思想。
孔 , 普通名詞。物體中空可被其他物體通過的地方。
孔融 , 專有名詞。東漢建安七子之一，字文舉。
字 , 中國古代文人依照本名中的字義另取相關的名字是後述對象。
字 , 專有名詞。姓。
字 , 普通名詞。中國傳統由他人依照本名中的字義另取的相關名字。
字 , 普通名詞。中文以外的語言的最小表意單位。
字 , 普通名詞。中文書面書寫的最小單位。
字 , 普通名詞。字音。
字 , 普通名詞。字體。常用接尾詞。
字 , 普通名詞。書寫者所寫下的自己的名字。
字 , 普通名詞。書法作品。
字 , 普通名詞。記錄語言的書面符號。常用接尾詞。
字 , 由家長做主答應家中女子的婚事。
字 , 親筆書寫，通常用於書信。
字 , 計算字數的單位。
存在 , 在時間上持續。
存在 , 持續占據精神或心理狀態。
存在 , 普通名詞。指不依賴人的意識決定的客觀事件。
存 , 將後述對象置於並保留在特定空間。
存 , 將檔案存入儲存裝置中。
存 , 將特定對象存放在特定空間維持其可使用的狀態。
存 , 將金錢儲蓄在特定金融機構。
存 , 專有名詞。姓。
存 , 對特定權力行使支配權，使特定對象能在適當時機使用。
存 , 形容在時間上持續。
存 , 形容生命持續。
存放 , 「存款與放款」的簡省。
存放 , 將後述對象置於並保留在特定空間。
存放 , 將檔案存入儲存裝置中。
存放 , 將金錢存在特定金融機構。
存有 , 後述對象存在。
存 , 有後述心理或精神狀態。
存有 , 有後述心理或精神狀態。
存有 , 金錢存在後述金融機構。
存檔 , 將檔案存入儲存裝置中。
存檔 , 把處理完畢的書面公文、資料等歸入檔案，留供以後查證參考。
存檔 , 普通名詞。已存入儲存裝置中的檔案。
存檔 , 普通名詞。預先錄製好的電視或廣播節目內容。
存 , 比喻將特定事物放在記憶中。
存疑 , 對前述對象的真實性有所懷疑與保留。
孝 , 形容恭敬地對待並順從父母或其他長輩。
孝 , 普通名詞。八德之一，恭敬地對待並順從父母或其他長輩的心理和行為特質。
孝 , 普通名詞。處於直系長輩喪事期間所穿著或佩帶的服飾。
孝 , 普通名詞。辦理直系長輩喪事期間所應遵守的禮儀。
孝順 , 形容恭敬地對待並順從父母或其他長輩。
孟嘗君 , 專有名詞。戰國時代齊國的貴族，養食客數千人。
孟姜女 , 專有名詞。秦朝為丈夫哭倒長城的女子。
孟子 , 專有名詞。中國戰國時代思想家，提倡性善之說，後世尊稱為亞聖，本名孟軻。
孟子 , 專有名詞。記載孟子思想的書。
孟 , 專有名詞。中國戰國時代思想家，儒家思想的大師，本名孟軻。「孟子」的縮寫。
孟 , 專有名詞。姓。
孟 , 形容後述季節中的第一個月。
孟 , 普通名詞。兄弟排行次序中的第一位。
季 , 專有名詞。姓。
季 , 形容後述季節中的第三個月。
季 , 形容特定時期的最後階段。
季 , 普通名詞。一年中依氣候變化以三個月為一等分的固定時段。
季 , 普通名詞。依照特定活動將一年以三個月為一等分的固定時段。
季 , 普通名詞。依照特定活動的進行所劃分的固定時段。
季 , 普通名詞。兄弟排行次序中的第四位。
季 , 普通名詞。接尾詞。一年中具有前述特徵的特定時段。
季 , 普通名詞。接尾詞。一年中舉辦前述活動的特定時段。
季 , 普通名詞。比賽中第三名的名次。
季 , 普通名詞。職業運動每年依照預定的賽程進行比賽的固定時段。
季末 , 時間詞。季節的最後時段，用於百貨銷售。
季節性 , 形容特定事件只在特定季節發生。
季節性 , 形容特定事件只在特定時段發生。
季節性 , 普通名詞。影響特定事件的時間因素。
季節 , 普通名詞。一年中依氣候變化以三個月為一等分的固定時段。
季節 , 普通名詞。一年中具有前述特徵的特定時段。
孤 , 代指說話者，為古代一國之主的自稱。
孤 , 使用Google搜尋引擎查詢資料。
孤兒 , 普通名詞。死了父親的孩子。
孤兒 , 普通名詞。比喻缺乏應得的支持與援助的人或物。
孤兒 , 普通名詞。被父母遺棄或父母雙亡的孩子。
孤 , 專有名詞。姓。
孤 , 形容不和人往來的。
孤 , 形容在事件的描述範圍內只有一個的。
孤 , 形容妻子死了且未再婚的。
孤 , 形容死了父親的。
孤 , 形容比喻失去國家的人。
孤 , 形容比喻缺乏應得的支持與援助的。
孤 , 形容被父母遺棄或父母雙亡的。
孤 , 普通名詞。妻子死了且未再婚的人。
孤 , 普通名詞。死了父親的孩子。
孤 , 普通名詞。無法投胎、四處遊蕩的靈性存在物。
孤 , 普通名詞。被父母遺棄或父母雙亡的孩子。
孤 , 表不和其他同類對象一起。
孩子 , 普通名詞。兒子和女兒。
孩子 , 普通名詞。尚未成年的人。
孩 , 專有名詞。姓。
孩 , 普通名詞。兒子和女兒。
孩 , 普通名詞。尚未成年的人。
孫中山 , 專有名詞。中國革命家，推翻滿清建立中華民國。
孫中山 , 普通名詞。壹百元鈔票。
孫中山 , 普通名詞。專指金錢。
孫 , 專有名詞。三國江東吳國開國君王，字仲謀，諡號大皇帝。「孫權」的縮寫。
孫 , 專有名詞。中國革命家，推翻滿清建立中華民國。「孫文」、「孫逸仙」、「孫中山」的縮寫。
孫 , 專有名詞。姓。
孫 , 普通名詞。子女的子女。
孫 , 普通名詞。孫子以後的後代。常用接尾詞。
孫 , 普通名詞。對子女的子女的指稱。
孫 , 普通名詞。接尾詞。與孫子同輩的親屬。
孫 , 普通名詞。比喻承襲或學習特定對象能力或特質的後繼者。常用接尾詞。
孫 , 普通名詞。比喻由母體植物再生出來的子體植物。
孫權 , 專有名詞。三國江東吳國開國君王，字仲謀，諡號大皇帝。
孫運璿 , 專有名詞。臺灣政治人物，曾任台電董事長、經濟部長、交通部長及行政院長。
孬 , 形容對特定對象的評價是負面的。
孬 , 形容沒有膽識、勇氣的。
孰 , 代指任何人，必在主語位置。
孰 , 代指無法確定的人，包括不必要或無法說出姓名的人，必在主語位置。
孰 , 指代定詞。代指在前述對象中，不確定的其中之一。
孰料 , 句副詞。表後述事件不在預期之中發生。
孵化 , 使卵生動物的受精卵在適合溫度及其它生長條件下發育成幼體。
孵化 , 卵生動物的受精卵在適合的環境下發育成幼體。
孵化 , 比喻促進事件進行。
學佛 , 學習佛教教義並依其修行。
學 , 在正規學校系統中主修後述領域。
學 , 專有名詞。姓。
學 , 形容學習使用的。
學 , 普通名詞。以學術研究為主並包括週邊相關的所有活動。
學 , 普通名詞。在正規學校系統中學習的事件。
學 , 普通名詞。接尾詞。將前述領域知識有系統地整合後的學科。
學 , 普通名詞。特定對象的教育程度。
學 , 普通名詞。透過學習所得到的對事物的認識和經驗的總和。
學期 , 普通名詞。一學年中的其中一個部分。
學校 , 地方詞。學校所在的地方及學校的建築物。
學校 , 地方詞。正規學校系統之外，教授特定知識或技能的場所所在的地方及其建築物。
學校 , 普通名詞。提供授課與學習的正規教育機構。
學校 , 普通名詞。正規學校系統之外，教授特定知識或技能的場所。
學 , 模仿特定對象的特定行為。
學 , 比喻從後述對象中獲得經驗並學習。
學 , 獲得知識或技能。
學生 , 普通名詞。向具有特定專長的人學習的人。
學生 , 普通名詞。在學校系統內讀書學習的人。
學習 , 獲得知識或技能。
學術 , 形容涉及專業知識或學問的。
學術 , 普通名詞。一切有系統且專門的學問的總稱。
學術 , 普通名詞。以學術研究為主並包括週邊相關的所有活動。
學運 , 普通名詞。「學生運動」的簡省。由學生發起對主政者的大型抗爭行動。
學院 , 地方詞。大學中按知識領域分設的教學行政單位的建築物及建築物所在的位置。
學院 , 地方詞。教授特定課程的學習機構的建築物及建築物所在的位置。
學院 , 地方詞。與大學同等級且以特定學科的教育為主的高等學校的建築物及建築物所在的位置。
學院 , 形容比喻服飾風格具有學生氣質的。
學院 , 形容比喻遵循一定理論、缺乏創新的。
學院 , 普通名詞。大學中按知識領域分設的教學行政單位。
學院 , 普通名詞。教授特定課程的學習機構。
學院 , 普通名詞。比喻遵循傳統的學術體制。
學院 , 普通名詞。與大學同等級且以特定學科的教育為主的高等學校。
它 , 代指自己和對方以外的單數第三者，指人以外的對象。
它們 , 代指說話者和聽話者以外的複數對象，用於非人類。
宅 , 形容外表不修邊幅，通常是髮型凌亂、衣著隨便沒有品味的。
宅 , 形容整天待在家中，不善與人相處，生活圈狹小的。
宅 , 普通名詞。設計供人居住或規定只能用於居住的建築物。常用接尾詞。
宅 , 長時間待在自己居住的地方，不外出。
